ID,판매가,화면크기,형태,해상도,화면비율,LCD,LED,OLED,QLED,단자,부가기능
8,396240,55,0,2160,1,0,1,0,0,3,1
9,412870,55,0,2160,1,0,1,0,0,3,1
10,414590,55,0,2160,1,0,1,0,0,3,1
14,418000,55,0,2160,1,0,1,0,0,3,1
15,419000,55,0,2160,1,0,1,0,0,3,1
20,392870,55,0,2160,1,0,1,0,0,3,1
22,426240,55,0,2160,1,0,1,0,0,3,1
23,427870,55,0,2160,1,0,1,0,0,3,1
24,430080,55,0,2160,1,0,1,0,0,3,1
27,434560,55,0,2160,1,0,1,0,0,3,1
30,449000,55,0,2160,1,0,1,0,0,3,1
32,457870,55,0,2160,1,0,1,0,0,3,1
36,477990,55,0,2160,1,0,1,0,0,3,1
38,478000,55,0,2160,1,0,1,0,0,3,1
41,422870,55,0,2160,1,0,1,0,0,3,1
46,1650750,65,0,2160,1,0,1,0,0,5,7
48,1668000,65,0,2160,1,0,1,0,0,5,7
50,1681030,65,0,2160,1,0,1,0,0,5,7
52,1725006,65,0,2160,1,0,1,0,0,5,7
53,1743750,65,0,2160,1,0,1,0,0,5,7
54,1750000,65,0,2160,1,0,1,0,0,5,7
55,1766070,65,0,2160,1,0,1,0,0,5,7
57,1865340,65,0,2160,1,0,1,0,0,5,7
58,1890500,65,0,2160,1,0,1,0,0,5,7
60,1660000,65,0,2160,1,0,1,0,0,5,7
65,3434000,65,0,2160,1,0,1,0,0,5,7
68,1618960,65,0,2160,1,0,1,0,0,5,7
69,2073000,65,0,2160,1,0,1,0,0,5,7
70,1343990,65,0,2160,1,0,1,0,0,4,3
71,1350220,65,0,2160,1,0,1,0,0,4,3
73,1370820,65,0,2160,1,0,1,0,0,4,3
80,1471550,65,0,2160,1,0,1,0,0,4,3
81,1475000,65,0,2160,1,0,1,0,0,4,3
83,1486140,65,0,2160,1,0,1,0,0,4,3
89,1562470,65,0,2160,1,0,1,0,0,4,3
90,1564000,65,0,2160,1,0,1,0,0,4,3
91,1595000,65,0,2160,1,0,1,0,0,4,3
93,3024000,65,0,2160,1,0,1,0,0,4,3
94,1484750,65,0,2160,1,0,1,0,0,4,3
102,274770,32,0,720,0,0,1,0,0,2,0
104,275770,32,0,720,0,0,1,0,0,2,0
106,282860,32,0,720,0,0,1,0,0,2,0
112,289000,32,0,720,0,0,1,0,0,2,0
115,291920,32,0,720,0,0,1,0,0,2,0
119,296640,32,0,720,0,0,1,0,0,2,0
121,299000,32,0,720,0,0,1,0,0,2,0
124,305280,32,0,720,0,0,1,0,0,2,0
130,311862,32,0,720,0,0,1,0,0,2,0
131,311960,32,0,720,0,0,1,0,0,2,0
134,315044,32,0,720,0,0,1,0,0,2,0
136,330990,32,0,720,0,0,1,0,0,2,0
137,341200,32,0,720,0,0,1,0,0,2,0
139,364250,32,0,720,0,0,1,0,0,2,0
148,405083,32,0,720,0,0,1,0,0,2,0
152,415510,32,0,720,0,0,1,0,0,2,0
153,469870,32,0,720,0,0,1,0,0,2,0
156,581070,32,0,720,0,0,1,0,0,2,0
161,302870,32,0,720,0,0,1,0,0,2,0
164,604510,65,0,2160,0,0,1,0,0,4,2
173,632280,65,0,2160,0,0,1,0,0,4,2
177,649000,65,0,2160,0,0,1,0,0,4,2
178,652800,65,0,2160,0,0,1,0,0,4,2
181,662100,65,0,2160,0,0,1,0,0,4,2
183,663480,65,0,2160,0,0,1,0,0,4,2
184,664510,65,0,2160,0,0,1,0,0,4,2
188,679000,65,0,2160,0,0,1,0,0,4,2
191,699000,65,0,2160,0,0,1,0,0,4,2
192,712800,65,0,2160,0,0,1,0,0,4,2
