id,trip_duration
id1846565,372.01
id2473446,269.6
id3852188,292.5
id3728770,365.76
id3733479,1268.22
id3912210,647.02
id1926606,427.84
id1219220,468.14
id3108390,395.72
id3528507,486.52
id3952969,260.35
id1654765,615.57
id3673519,266.75
id0899681,312.88
id1837685,300.67
id2899379,410.99
id2889163,475.46
id0945606,287.99
id1064041,534.29
id3587936,1230.61
id1894675,514.5
id3979412,10729.21
id3193338,53.51
id0318298,515.38
id0354203,1301.12
id2147519,1312.47
id2905580,340.76
id0806271,371.92
id0004067,205.73
id2627257,298.66
id3604759,395.75
id0197044,875.35
id0252476,367.65
id2251007,3946.31
id3935847,235.8
id1754386,433.15
id2388524,350.35
id1018103,403.96
id3384421,238.47
id3399386,261.28
id3329432,306.55
id0837081,348.14
id2262376,289.04
id2277437,1285.14
id0325793,339.17
id2185383,311.46
id1026828,357.63
id3317475,383.56
id2990692,191.08
id2496862,119.87
id1508935,248.6
id2482431,440.63
id0916013,254.14
id1748497,314.88
id0990456,282.14
id2781783,453.4
id2725916,386.71
id3397745,335.8
id0953001,303.24
id0523805,437.6
id0238043,500.12
id2410379,279.52
id3894003,382.1
id0899697,668.32
id2445062,678.96
id3776509,430.93
id0823953,269.19
id0835187,364.78
id2148529,1317.51
id2457514,1257.72
id2567484,79.69
id3963408,442.72
id0729156,641.24
id3885040,940.45
id1872762,246.61
id3695064,299.94
id2766778,344.36
id3735678,426.18
id1389507,234.04
id3538427,365.19
id2386807,327.82
id3518317,444.46
id1622938,324.11
id0388312,187.48
id3383170,317.14
id2194714,473.34
id0206782,368.54
id1081617,360.74
id3374838,517.45
id0796177,249.96
id3643595,282.12
id1024509,601.94
id1407607,420.1
id2975049,288.01
id3922042,415.85
id1028394,380.67
id0210254,1934.85
id0455194,394.9
id1005421,488.58
id3931531,79.5
id0419728,811.81
id2243489,1773.2
id0824488,310.23
id3624746,238.93
id3398641,354.37
id0384703,426.49
id3328811,996.1
id1118680,144.29
id2509452,785.64
id3459987,220.9
id3452052,1325.48
id3601355,246.38
id3832146,471.82
id3973046,381.02
id2010686,276.9
id1358859,212.37
id3043689,241.24
id0791847,338.62
id3305385,195.7
id1087039,395.47
id0073285,295.29
id0081407,268.3
id2630971,328.1
id1212401,2547.36
id1606138,882.0
id0646553,486.08
id2416796,1259.59
id1014979,238.86
id1006773,287.99
id2811122,1006.68
id2962134,2335.23
id0223362,1856.07
id0616268,389.32
id1997951,410.2
id0042114,239.14
id0915475,272.55
id1997410,463.3
id3979246,259.1
id2940117,162.78
id0760890,98.26
id3029405,114.68
id1227228,223.65
id2934775,310.97
id1955117,322.51
id3376471,302.13
id2528441,604.84
id0543787,107.59
id1608724,311.78
id2262743,389.92
id1322274,294.89
id0560970,291.95
id0719015,577.85
id2566676,1440.57
id0136754,3053.34
id3022813,460.6
id3082523,605.17
id0761461,276.61
id3737731,301.84
id0246295,368.05
id2925537,379.76
id0226544,303.85
id2270359,329.22
id3002298,389.58
id3419986,411.82
id1508628,388.28
id1300975,250.42
id3159001,348.17
id2698976,484.37
id0864251,278.96
id0352944,282.05
id0447342,328.87
id1192695,255.81
id3127115,250.69
id0424800,395.49
id1821306,389.19
id3348977,383.01
id1047123,4474.4
id2565644,2015.08
id2128290,236.81
id1767870,336.59
id1884993,464.81
id1009000,260.77
id1448826,287.46
id1476998,408.35
id0188029,219.94
id3540776,322.41
id3790177,281.8
id0206858,342.29
id3867691,260.07
id3580444,294.3
id3980548,237.76
id3094543,315.24
id0258747,406.78
id3899246,292.27
id3093751,313.0
id1820131,305.23
id1965241,436.07
id1559863,293.08
id2245240,402.88
id2471679,424.97
id2055564,203.41
id1964573,425.43
id0058356,314.0
id1646105,440.85
id0228550,513.31
id2092170,238.73
id2343098,228.33
id0077970,342.14
id2578406,44.97
id3966841,486.47
id0625666,356.21
id1403462,419.2
id1147354,368.16
id0840585,340.18
id0294266,278.14
id2881973,273.18
id2157986,337.03
id3078493,315.46
id2593025,411.07
id1860390,216.6
id3523882,373.12
id3155607,278.41
id0353282,15.07
id2201722,317.82
id0047172,294.09
id2413778,271.19
id2732070,335.47
id0685969,304.46
id3512493,464.4
id0073265,310.9
id2112274,311.07
id0045652,516.25
id1579918,268.22
id2414498,551.88
id2529926,259.66
id0416714,326.84
id3053351,317.45
id2022216,220.89
id2839389,262.42
id1285018,161.58
id0164818,226.27
id0866136,325.12
id1274504,250.53
id0827139,368.77
id2690934,207.75
id2586036,618.23
id3286294,508.39
id2539751,368.73
id1974922,281.61
id0000952,310.85
id3756307,268.34
id1218309,419.14
id2884918,249.88
id1973679,468.28
id1536320,404.86
id0781577,393.59
id3659875,364.72
id3933209,227.68
id2278080,309.09
id2425394,286.37
id1626132,337.64
id3318742,557.99
id0755541,221.02
id1883855,329.9
id0768985,275.16
id1902972,295.1
id1575871,1199.62
id1853123,411.25
id3738879,453.78
id1363095,336.67
id3594597,2523.4
id2567305,325.97
id0567042,2167.68
id0590499,650.49
id1124928,375.95
id2798304,271.53
id1862584,348.76
id3359290,2855.47
id0656175,242.99
id1084869,411.51
id1526943,303.43
id2256850,215.22
id3060847,270.57
id1633694,416.79
id3882314,698.63
id1915628,328.67
id0587502,254.1
id2663034,362.17
id2686746,577.03
id1441339,1443.94
id0093570,142.8
id2105434,377.13
id2410813,283.59
id3361466,399.78
id2487121,519.03
id0278029,293.89
id0878249,250.85
id1638773,284.15
id0542345,265.67
id0526030,446.51
id2847500,278.08
id1299112,369.23
id3020544,370.28
id2736678,203.2
id1106631,347.39
id0621110,260.47
id0089817,542.28
id3325591,342.35
id0285555,397.83
id2256243,419.53
id0244395,355.53
id1317007,177.34
id1197529,431.96
id3759524,303.86
id0090483,299.08
id2649630,324.79
id1831237,409.88
id0895551,308.89
id0177261,364.59
id1894466,350.07
id3111085,337.07
id0600835,411.35
id2515630,304.5
id3498394,308.32
id3661308,277.61
id3308259,498.72
id3733218,297.95
id0040489,456.36
id0657599,338.37
id0774055,343.83
id0089042,486.04
id2149180,260.03
id3681388,319.53
id2300417,2015.83
id0277084,341.46
id1307652,302.54
id0138498,278.75
id0001770,381.34
id1461237,348.73
id3509299,403.14
id1231840,328.83
id2382665,248.16
id1414524,1116.1
id2952547,452.75
id1661458,377.96
id3018084,235.64
id3007614,412.62
id3786392,301.48
id3037236,288.73
id3684299,432.29
id0166233,252.33
id2761959,322.69
id3079943,359.26
id0516621,311.28
id0182347,457.57
id1341450,414.38
id3498035,302.34
id0706958,290.95
id3326970,276.55
id2129292,377.71
id3958831,454.08
id1573835,305.22
id0146062,290.64
id1139759,309.39
id2229882,283.34
id1500769,282.38
id3634316,408.29
id0499911,276.63
id3902854,276.18
id3917922,352.74
id1083894,275.5
id3733192,213.52
id1180523,283.3
id1967001,322.0
id0911960,364.07
id1986316,300.96
id3819108,312.48
id0166767,432.65
id2956587,330.15
id2641847,200.36
id1630644,270.98
id0815181,362.07
id2504975,268.31
id0620170,1198.99
id3040426,303.03
id3865480,326.74
id3141855,373.68
id2844221,407.81
id1082861,300.68
id1915412,374.21
id0218899,355.71
id3636507,3503.53
id3481152,215.98
id0494209,383.86
id0671341,408.0
id3580539,255.03
id3899530,362.69
id1717044,226.76
id3928009,267.9
id3751829,348.57
id1484248,383.14
id2832393,274.68
id3054750,289.34
id2143711,351.94
id1538653,322.39
id2831506,322.72
id2914233,331.62
id1822581,285.25
id2506192,519.43
id2030272,2088.82
id2442757,234.18
id2520077,1336.32
id0586673,359.85
id1203241,513.18
id3737770,229.23
id3813206,382.1
id2342610,186.46
id2785446,319.49
id2310816,491.96
id3238853,369.06
id0871714,424.66
id2427913,351.62
id3090190,430.27
id0647705,261.77
id2943616,1276.4
id2973448,265.11
id3244003,376.9
id3337962,355.97
id3497668,466.17
id0837243,279.42
id3220705,329.36
id2264013,1205.69
id3786257,383.4
id1950064,486.54
id1518139,325.52
id0979498,501.75
id1241053,320.04
id0109964,262.94
id0317961,474.98
id3783362,257.72
id3197026,306.46
id1532942,359.68
id0809432,346.11
id1689842,435.15
id2354248,268.63
id0739339,183.13
id3347385,324.4
id0395445,344.52
id0837764,274.35
id0490982,315.57
id2722111,359.18
id0906699,418.14
id1122315,296.84
id0585281,399.17
id3950089,482.77
id2807307,449.28
id0785328,283.39
id0791641,291.27
id2068901,1222.45
id1544398,322.91
id3526545,327.57
id3520480,537.7
id2977303,277.31
id3351067,290.35
id2739409,243.63
id1824282,424.58
id1663887,318.12
